"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C2,C3","2","10u","","","","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"C4","1","100u","","","","Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm","~"
"D1","1","1N4007","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1","1","Screw_Terminal_01x03","","","","TerminalBlock_RND:TerminalBlock_RND_205-00277_1x03_P5.00mm_Vertical","~"
"J2,J3","2","Screw_Terminal_01x02","","","","TerminalBlock_RND:TerminalBlock_RND_205-00276_1x02_P5.00mm_Vertical","~"
"Q2,Q3","2","NPN","","","","Package_TO_SOT_THT:TO-92","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs"
"R2","1","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3","1","2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4,R5","2","0.3","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U1","1","LM317_TO-220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf"
